,LocationDesc,Question,YearStart,Age (years),Education,Gender,Income,Race/Ethnicity,Total
73,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2015,37.06666666666666,37.25,36.849999999999994,34.642857142857146,37.449999999999996,37.4
74,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2016,35.333333333333336,34.825,35.0,33.614285714285714,29.65,35.3
75,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2017,32.53333333333333,32.55,32.0,30.585714285714285,32.125,32.6
76,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2018,34.36666666666667,34.4,34.35,33.08571428571428,30.18,34.7
77,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2019,35.78333333333333,34.825,35.7,34.65714285714286,34.2,36.1
78,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2020,34.766666666666666,34.575,34.55,32.32857142857143,34.94,35.0
79,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2021,33.800000000000004,33.625,33.8,33.08571428571428,33.24285714285715,34.1
80,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2022,35.9,36.5,35.95,33.41428571428572,35.166666666666664,36.4
81,Alaska,Percent of adults aged 18 years and older who have an overweight classification,2023,32.9,33.125,32.85,31.7,31.066666666666663,33.3
82,Alaska,Percent of adults aged 18 years and older who have obesity,2011,27.45,27.450000000000003,27.35,28.271428571428572,29.419999999999998,27.4
83,Alaska,Percent of adults aged 18 years and older who have obesity,2012,25.183333333333334,25.225,25.65,25.7,23.457142857142856,25.7
84,Alaska,Percent of adults aged 18 years and older who have obesity,2013,27.916666666666668,28.025,28.35,28.157142857142855,30.78333333333333,28.4
85,Alaska,Percent of adults aged 18 years and older who have obesity,2014,29.150000000000002,29.625,29.75,29.75714285714286,31.016666666666666,29.7
86,Alaska,Percent of adults aged 18 years and older who have obesity,2015,29.7,29.575,29.9,30.071428571428573,29.7,29.8
87,Alaska,Percent of adults aged 18 years and older who have obesity,2016,31.149999999999995,30.575,31.299999999999997,32.0,32.875,31.4
88,Alaska,Percent of adults aged 18 years and older who have obesity,2017,34.1,34.225,34.35,34.971428571428575,34.375,34.2
89,Alaska,Percent of adults aged 18 years and older who have obesity,2018,29.183333333333334,29.3,29.2,29.657142857142855,29.2,29.5
90,Alaska,Percent of adults aged 18 years and older who have obesity,2019,30.23333333333333,30.225,30.55,31.057142857142857,34.425,30.5
91,Alaska,Percent of adults aged 18 years and older who have obesity,2020,31.566666666666666,31.05,31.7,34.22857142857143,31.560000000000002,31.9
92,Alaska,Percent of adults aged 18 years and older who have obesity,2021,33.449999999999996,31.875,33.599999999999994,33.371428571428574,34.7,33.5
93,Alaska,Percent of adults aged 18 years and older who have obesity,2022,32.15,32.025,32.25,34.628571428571426,31.46666666666667,32.1
94,Alaska,Percent of adults aged 18 years and older who have obesity,2023,34.9,34.65,35.099999999999994,35.457142857142856,36.21666666666667,35.2
95,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,58.166666666666664,57.375,57.9,56.57142857142857,53.36,57.9
96,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2013,55.18333333333334,53.925,55.3,52.91428571428571,50.9,55.3
97,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2015,58.18333333333334,56.975,58.3,55.371428571428574,55.06,58.3
98,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2017,57.93333333333334,58.075,58.45,55.471428571428575,57.15,58.3
99,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2019,57.53333333333333,55.65,57.25,52.82857142857143,54.575,57.3
100,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2023,64.88333333333334,62.45,64.9,60.685714285714276,59.96666666666667,65.0
101,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,24.866666666666664,24.474999999999998,24.9,23.057142857142857,23.580000000000002,25.0
102,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2013,25.016666666666666,23.8,25.049999999999997,24.285714285714285,25.566666666666666,25.1
103,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2015,24.150000000000002,23.275,24.1,22.75714285714286,22.32,24.3
104,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2017,24.21666666666667,24.5,24.15,22.62857142857143,27.4,24.2
105,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2019,26.066666666666666,25.85,25.5,22.657142857142855,20.45,25.6
106,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2023,34.21666666666667,31.375,33.8,31.95714285714286,32.2,33.9
107,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,38.18333333333333,38.05,37.65,36.300000000000004,34.239999999999995,37.7
108,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2013,36.6,35.824999999999996,36.400000000000006,35.628571428571426,34.0,36.4
109,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2015,36.85,35.9,36.95,35.7,38.86,37.0
110,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2017,37.333333333333336,37.475,37.55,36.07142857142857,35.2,37.6
111,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2019,38.75,38.675,38.65,35.98571428571429,38.225,38.8
112,Alaska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2023,46.25,45.15,46.650000000000006,44.114285714285714,42.86666666666667,46.8
113,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,33.71666666666667,33.125,33.75,31.814285714285713,31.859999999999996,33.8
114,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2013,35.983333333333334,35.25,35.9,35.542857142857144,39.233333333333334,36.0
115,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2015,34.28333333333333,33.425,33.9,32.81428571428571,34.5,34.1
116,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2017,34.88333333333333,34.75,34.400000000000006,33.51428571428571,36.75,34.7
117,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2019,38.11666666666667,37.45,37.45,35.31428571428571,32.35,37.6
118,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2023,44.86666666666667,42.375,43.95,44.114285714285714,43.13333333333333,44.1
119,Alaska,Percent of adults who engage in no leisure-time physical activity,2011,22.233333333333334,23.45,22.05,23.514285714285712,27.98,22.0
120,Alaska,Percent of adults who engage in no leisure-time physical activity,2012,18.983333333333334,20.325,18.5,21.24285714285714,22.400000000000002,18.5
121,Alaska,Percent of adults who engage in no leisure-time physical activity,2013,22.5,24.075,22.25,24.571428571428573,24.383333333333336,22.3
122,Alaska,Percent of adults who engage in no leisure-time physical activity,2014,19.583333333333332,21.4,19.200000000000003,21.842857142857145,23.366666666666664,19.2
123,Alaska,Percent of adults who engage in no leisure-time physical activity,2015,22.016666666666666,23.6,22.0,24.542857142857144,25.416666666666668,22.0
124,Alaska,Percent of adults who engage in no leisure-time physical activity,2016,19.2,21.625,19.2,20.928571428571427,19.1,19.1
125,Alaska,Percent of adults who engage in no leisure-time physical activity,2017,21.033333333333335,21.9,20.65,22.685714285714287,19.225,20.6
126,Alaska,Percent of adults who engage in no leisure-time physical activity,2018,19.633333333333333,21.375,19.8,22.47142857142857,22.86,19.6
127,Alaska,Percent of adults who engage in no leisure-time physical activity,2019,21.400000000000002,24.425,21.65,25.02857142857143,23.75,21.7
128,Alaska,Percent of adults who engage in no leisure-time physical activity,2020,21.483333333333334,25.125,21.45,25.24285714285714,24.349999999999998,21.3
129,Alaska,Percent of adults who engage in no leisure-time physical activity,2021,20.683333333333334,22.2,20.4,22.585714285714285,22.214285714285715,20.3
130,Alaska,Percent of adults who engage in no leisure-time physical activity,2022,21.483333333333334,22.925,21.7,24.914285714285715,25.683333333333334,21.5
131,Alaska,Percent of adults who engage in no leisure-time physical activity,2023,20.616666666666664,23.174999999999997,20.9,25.642857142857142,24.099999999999998,20.9
132,Alaska,Percent of adults who report consuming fruit less than one time daily,2017,37.61666666666667,39.8,36.5,39.31428571428571,38.725,36.9
133,Alaska,Percent of adults who report consuming fruit less than one time daily,2019,42.98333333333333,43.45,42.75,44.67142857142857,45.45,42.8
134,Alaska,Percent of adults who report consuming fruit less than one time daily,2021,42.43333333333333,43.475,42.349999999999994,44.57142857142857,41.699999999999996,42.4
135,Alaska,Percent of adults who report consuming vegetables less than one time daily,2017,19.666666666666668,20.875,18.75,22.771428571428572,23.9,19.0
136,Alaska,Percent of adults who report consuming vegetables less than one time daily,2019,19.416666666666668,18.900000000000002,18.85,23.914285714285715,18.275,19.0
137,Alaska,Percent of adults who report consuming vegetables less than one time daily,2021,19.216666666666665,19.025,18.700000000000003,21.342857142857145,20.014285714285712,18.7
138,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2011,37.4,37.325,37.6,37.728571428571435,36.416666666666664,37.8
139,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2012,35.46666666666667,36.35,35.8,35.857142857142854,32.98571428571429,36.0
140,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2013,34.733333333333334,33.525,34.9,34.34285714285714,35.28333333333333,35.1
141,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2014,34.46666666666667,35.425,34.95,34.857142857142854,32.357142857142854,35.1
142,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2015,36.68333333333333,36.675,36.75,36.771428571428565,35.2,36.9
143,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2016,33.65,33.8,34.15,34.042857142857144,29.685714285714287,34.2
144,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2017,34.71666666666667,35.5,35.15,34.785714285714285,33.957142857142856,35.3
145,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2018,34.949999999999996,34.95,35.15,34.714285714285715,32.94285714285714,35.2
146,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2019,33.666666666666664,34.875,34.3,34.51428571428571,32.857142857142854,34.4
147,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2020,34.416666666666664,35.55,35.05,34.785714285714285,33.08571428571428,35.2
148,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2021,36.25,36.875,36.4,35.55714285714286,34.98571428571429,36.6
149,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2022,32.78333333333333,32.65,33.35,32.971428571428575,33.56666666666667,33.5
150,Arizona,Percent of adults aged 18 years and older who have an overweight classification,2023,33.96666666666667,34.5,34.45,33.614285714285714,33.885714285714286,34.5
151,Arizona,Percent of adults aged 18 years and older who have obesity,2011,24.96666666666667,26.175,25.1,25.428571428571427,24.96666666666667,25.1
152,Arizona,Percent of adults aged 18 years and older who have obesity,2012,26.05,26.7,26.0,26.342857142857145,28.328571428571426,26.0
153,Arizona,Percent of adults aged 18 years and older who have obesity,2013,26.46666666666667,28.475,26.8,27.085714285714285,30.700000000000003,26.8
154,Arizona,Percent of adults aged 18 years and older who have obesity,2014,28.683333333333334,28.9,28.950000000000003,29.085714285714285,29.12857142857143,28.9
155,Arizona,Percent of adults aged 18 years and older who have obesity,2015,28.349999999999998,29.25,28.35,29.085714285714285,27.928571428571427,28.4
156,Arizona,Percent of adults aged 18 years and older who have obesity,2016,28.916666666666668,29.674999999999997,29.0,29.414285714285715,30.428571428571427,29.0
157,Arizona,Percent of adults aged 18 years and older who have obesity,2017,29.416666666666668,29.825,29.450000000000003,30.24285714285714,30.342857142857145,29.5
158,Arizona,Percent of adults aged 18 years and older who have obesity,2018,29.333333333333332,30.6,29.5,30.942857142857147,30.17142857142857,29.5
159,Arizona,Percent of adults aged 18 years and older who have obesity,2019,31.616666666666664,31.95,31.4,32.08571428571428,30.542857142857144,31.4
160,Arizona,Percent of adults aged 18 years and older who have obesity,2020,31.016666666666666,31.725,30.9,31.585714285714285,33.0,30.9
161,Arizona,Percent of adults aged 18 years and older who have obesity,2021,31.25,31.725,31.35,33.214285714285715,32.58571428571428,31.3
162,Arizona,Percent of adults aged 18 years and older who have obesity,2022,33.199999999999996,33.925,33.25,34.42857142857143,35.46666666666667,33.2
163,Arizona,Percent of adults aged 18 years and older who have obesity,2023,32.15,32.225,31.85,33.82857142857143,32.65714285714286,31.9
164,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,52.31666666666666,50.95,52.75,52.1,54.050000000000004,52.8
165,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2013,51.583333333333336,50.375,52.0,51.07142857142857,44.82,51.9
166,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2015,53.416666666666664,52.7,53.8,53.08571428571429,49.885714285714286,53.8
167,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2017,52.53333333333333,50.975,52.75,51.1,49.714285714285715,52.7
168,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2019,54.11666666666667,52.575,54.7,52.01428571428572,52.642857142857146,54.7
169,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2023,62.93333333333334,60.65,63.099999999999994,58.699999999999996,61.34285714285714,63.1
170,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,24.150000000000002,22.625,24.15,23.585714285714285,28.03333333333333,24.2
171,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2013,22.316666666666666,21.475,22.1,20.857142857142858,20.880000000000003,22.0
172,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2015,22.05,20.95,21.85,21.11428571428571,22.571428571428573,21.8
